country,exp,exp_f,exp_m,elec,elec_rural,elec_urban,lit,lit_f,lit_m,mort,mort_f,mort_m
Slovak Republic,73.05121951,77.2,69.1,100,100,100,,,,10.2,9.1,11.3
Slovenia,75.41219512,79.1,71.9,100,100,100,,,,4.5,4.1,5
Small states,60.5643136,62.37904466,58.79911742,58.63997409,42.56103342,78.51967213,78.45156699,76.55649561,80.49416797,56.86867797,51.54768664,61.92729984
Solomon Islands,62.83673171,64.108,61.626,15.7,5.1,72.14193283,,,,27.4,24.9,29.8
Somalia,50.87826829,52.484,49.349,25.9093,11.3017,55.23829578,,,,105.3,98,112.1
South Africa,55.83687805,58.047,53.732,66.1,37.1,88.07467086,,,,54,48.3,59.6
South Asia,62.90850757,63.77178755,62.08845565,61.23490105,46.69334569,96.25629947,58.02386014,45.59445527,69.74589971,68.8,67.7,69.9
South Sudan,49.21907317,50.476,48.022,0,0.1,0.1,,,,109.5,101.1,117.5
Spain,78.96585366,82.5,75.6,100,100,100,,,,5.4,4.9,5.9
Sri Lanka,71.15712195,74.995,67.502,80.7,78.3,93.57786619,,,,14,12.7,15.3
St. Kitts and Nevis,,,,85.4112,72.26502,100,,,,15,13.4,16.4
St. Lucia,71.42304878,73.332,69.605,85.4112,72.26502,100,,,,15.2,13.6,16.7
St. Martin (French part),76.97073171,80.3,73.8,85.4112,72.26502,100,,,,,,
St. Vincent and the Grenadines,70.58212195,73.034,68.247,70.93898,24.28065,100,,,,19.2,17.4,20.9
Sub-Saharan Africa (all income levels),50.33939359,51.47617495,49.26757819,26.06453236,9.728648652,60.27729306,57.03661368,47.66963384,67.24702026,94.25799855,86.44682054,101.696609
Sub-Saharan Africa (developing only),50.33798564,51.4746168,49.26633017,26.02778612,9.72740455,60.22953693,57.00709178,47.63777206,67.22094152,94,86.4,101.3
Sudan,57.97497561,59.887,56.154,25.45585,10.28065,56.98075771,61.34587479,52.14639664,71.58101654,67.8,61.6,73.8
Suriname,67.92917073,71.471,64.556,99.6241,99,99.96237471,,,,30.2,26.5,33.6
Swaziland,48.66407317,49.228,48.127,31.65585,16.98066,81.80613045,81.66070557,80.32875061,83.15462494,84,76.1,91.4
Sweden,79.64390244,82,77.4,100,100,100,,,,3.4,3,3.7
Switzerland,79.6804878,82.6,76.9,100,100,100,,,,4.6,4.2,5.1
Syrian Arab Republic,73.33029268,74.914,71.822,86.6,73.6,98.62550677,,,,19.8,17.6,21.9
Tajikistan,63.69529268,67.673,59.907,99,94.28065,100,99.45124817,99.22173309,99.68461609,74.3,66.4,81.8
Tanzania,50.46534146,51.06,49.899,8.8,1.7,33.52572056,,,,80.3,76.2,84.4
Thailand,70.63407317,74.516,66.937,82.5,87,72.550525,92.64654541,90.5160141,94.90156555,19.1,16.2,21.9
Timor-Leste,59.48141463,60.724,58.298,34.45584,19.28065,81.82522404,,,,86.3,80.2,92
Togo,53.46868293,54.301,52.676,16.97,2.4,46.6762938,53.17760086,38.45329285,68.72574615,76.2,68.1,83.7
Tonga,70.76043902,72.8,68.818,85.79802,75.28065,100,,,,15.1,17.2,12.9
Trinidad and Tobago,68.59643902,72.379,64.994,94.86102,93.28065,100,,,,25.3,22.7,27.9
Tunisia,72.6,74.7,70.6,95,86.7,99.78487829,,,,26.3,23.4,29.1
Turkey,69.99836585,73.784,66.393,100,100,100,,,,32.1,29.7,34.5
Turkmenistan,63.89929268,67.898,60.091,99.6,99,100,,,,66.1,55.7,75.9
Turks and Caicos Islands,,,,85.4112,72.26502,87.81342923,,,,,,
Tuvalu,,,,37.45584,24.28065,52.91116415,,,,34.3,30.4,37.9
Uganda,46.41997561,47.555,45.339,8.6,2.4,53.71600728,,,,90,81.9,97.7
Ukraine,67.8595122,73.55,62.44,96.25585,94.88065,96.92875485,,,,15.8,13.9,17.6
United Arab Emirates,74.45153659,75.584,73.373,90.89918,86.9258,91.87791626,,,,9.6,8.4,10.6
United Kingdom,77.74146341,80.2,75.4,100,100,100,,,,5.6,5,6.2
United States,76.63658537,79.3,74.1,100,100,100,,,,7.1,6.4,7.7
Upper middle income,71.15366554,73.23449916,69.20534458,95.77099164,91.8746907,98.38713918,89.75444484,86.0144624,93.47797557,31.4,28.8,33.9
Uruguay,74.68597561,78.488,71.065,97,86.9,97.95940323,,,,14.6,12.8,16.4
Uzbekistan,66.94078049,70.268,63.772,99.7,99.5,100,98.64258575,98.13858032,99.16443634,52.7,45.6,59.6
Vanuatu,67.555,69.319,65.875,19.1,10.28065,50.97344749,,,,23.8,21.7,25.8
"Venezuela, RB",72.34612195,76.394,68.491,99,99.8,98.91001346,,,,18.5,16,20.8
Vietnam,73.63112195,78.477,69.016,89.1,86.6,96.85683105,90.15612793,86.61011505,93.93268585,26.1,22.5,29.6
Virgin Islands (U.S.),76.6195122,80,73.4,85.4112,72.26502,86.45792688,,,,,,
West Bank and Gaza,70.90746341,72.463,69.426,90.89918,86.9258,92.44676041,,,,24.9,23.1,26.5
World,67.70487781,69.82833921,65.6744874,79.31373682,64.11907143,95.26897197,81.90683692,76.99332774,86.91202702,53.1,50,56.1
"Yemen, Rep.",60.45636585,61.89,59.091,41.3,26,84.24799178,,,,69,63.4,74.4
Zambia,43.45668293,44.121,42.824,17.4,2.9,44.56427217,,,,97.6,90.8,104
Zimbabwe,41.68943902,41.188,42.167,34.2,8.3,85.02255465,,,,63.5,56.4,70.4
